index_0,sample,value
1,18,-0.44844372986311826
2,18,-0.7944684218728897
3,18,-0.3503990358675595
4,18,0.18445709073811964
5,18,-0.5952476296750444
0,19,-0.5342185444389065
1,19,-0.5121303953418266
2,19,-0.8555300826000243
3,19,-0.2770301861492761
4,19,0.1683521920306979
5,19,-0.629159774148156
0,20,-0.5740523840942258
1,20,-0.399237816335966
2,20,-0.7825697336471382
3,20,-0.1867697568950931
4,20,0.19549252507532727
5,20,-0.6493150673101034
0,21,-0.5736018685833173
1,21,-0.41799356308739066
2,21,-0.7845015828186555
3,21,-0.2611436780772378
4,21,0.14400947893430155
5,21,-0.7597079544665508
0,22,-0.37497194339849793
1,22,-0.30164305476977804
2,22,-0.7000768483610131
3,22,-0.1859446367309413
4,22,0.29977841260870763
5,22,-0.36061883643279846
0,23,-0.46261539810374025
1,23,-0.23462454814850234
2,23,-0.5395873285020307
3,23,-0.12638721550506302
4,23,0.3106948322180233
5,23,-0.47482187034097045
0,24,-0.3384947457521849
1,24,-0.3789874055669722
2,24,-0.6825380580319134
3,24,-0.03386696389822896
4,24,0.32550156162415456
5,24,-0.44873652133644226
0,25,-0.4562082232297445
1,25,-0.27851734479299844
2,25,-0.5374100351402513
3,25,-0.05501584342550464
4,25,0.34620583607282823
5,25,-0.5167200903664637
0,26,-0.32121004700069755
1,26,-0.25344095622928664
2,26,-0.5011115581988204
3,26,0.09389626296801268
4,26,0.3855599409392293
5,26,-0.37060568072208355
0,27,-0.3999394834810942
1,27,-0.2875558901203985
2,27,-0.7129957574978548
3,27,-0.12059488020072129
4,27,0.32313560091717325
5,27,-0.4429749092147636
0,28,-0.41902617977770895
1,28,-0.2201433628282683
2,28,-0.5425512699912303
3,28,0.04520201202483176
4,28,0.30291471223436567
5,28,-0.4800183840945377
0,29,-0.30556393970121853
1,29,-0.3307023517870016
2,29,-0.49744135074601653
3,29,0.06477757787112184
4,29,0.4066372009168447
5,29,-0.3933131878174465
0,30,-0.3204897409803524
1,30,-0.10806423760912498
2,30,-0.5535292073146332
3,30,-0.006197596333237687
4,30,0.415415744888305
5,30,-0.40457071666761935
0,31,-0.24741796076862066
1,31,-0.12515329662522134
2,31,-0.38069470428446134
3,31,0.14051161965246736
4,31,0.5493700453754751
5,31,-0.3186907266969866
0,32,-0.08647607789424505
1,32,-0.05922334944629748
2,32,-0.3594729438531501
3,32,0.18077225415068535
4,32,0.6207950983603531
5,32,-0.17841465491831887
0,33,-0.04890466399696233
1,33,0.09744646441797089
2,33,-0.3777446626865404
3,33,0.21363838358133344
4,33,0.6347034680812501
5,33,-0.12348606731316797
0,34,-0.17765517085877103
1,34,-0.07234739263515105
2,34,-0.4130098098025678
3,34,0.15117131640612852
4,34,0.5241829819190457
5,34,-0.1808385605568456
0,35,-0.08179338360213495
1,35,-0.025750032318464178
2,35,-0.3642717319192515
3,35,0.1685365245371212
4,35,0.6973132961390548
5,35,-0.18602754074528866
0,36,0.02394026223404544
1,36,-0.01865835379458436
2,36,-0.30807865965294084
3,36,0.3137868915929711
4,36,0.6771022207789866
5,36,-0.15634075379782822
0,37,-0.08935763361500215
1,37,0.08134822732862125
2,37,-0.25944399031173093
3,37,0.24739352581598895
4,37,0.7046818967486246
5,37,-0.12039150176803189
0,38,-0.047707209011859875
1,38,-0.030455044741691584
2,38,-0.27031326208537565
3,38,0.29741847265500904
4,38,0.7091673717292167
5,38,-0.13852309246647415
0,39,-0.08627236892599677
1,39,0.046088283775106875
2,39,-0.286734054097688
3,39,0.22569181992160173
4,39,0.6109904695724276
5,39,-0.09883935002157229
0,40,-0.039587796080438706
1,40,0.03468750180130184
2,40,-0.3346031615699941
3,40,0.27073437204586515
4,40,0.5942500018011886
5,40,-0.19402742993281957
0,41,0.03489919353149917
1,41,0.01921314468202595
2,41,-0.31963437524398153
3,41,0.34141548503124974
4,41,0.7146036098115635
5,41,-0.2101692893390713
0,42,0.025706959996548012
1,42,-0.005947999100167856
2,42,-0.34117411429513633
3,42,0.3650926293838778
4,42,0.7375700089702223
5,42,-0.047848643543087044
0,43,-0.0385748772373181
1,43,0.14397667750973228
2,43,-0.3163236458861527
3,43,0.33554158323260125
4,43,0.6859939195408883
5,43,-0.11842852947749338
0,44,-0.15995262691919082
1,44,-0.042407238922313434
2,44,-0.3649241995920278
3,44,0.09847165727921259
4,44,0.49101690470334636
5,44,-0.23482394178977598
0,45,-0.17267278041508582
1,45,0.008173855485521797
2,45,-0.46026006477455605
3,45,0.15371635634680114
4,45,0.523179680454958
5,45,-0.26999386312818163
0,46,-0.1333155959558242
1,46,-0.05520340695935155
2,46,-0.35926328346316316
3,46,0.17682363631962245
4,46,0.6055945275304745
5,46,-0.3644140742366511
0,47,-0.07478993336548023
1,47,0.033794838277151296
2,47,-0.24935705869151514
3,47,0.3176455915334979
4,47,0.6126517068394608
5,47,-0.17401243363616525
0,48,-0.06886253551226285
1,48,0.0054027688609672025
2,48,-0.19957554189723264
3,48,0.22835118948007269
4,48,0.615911577008084
5,48,-0.010540908440914376
0,49,-0.0740775962795309
1,49,0.16592731566440502
2,49,-0.30637637951929086
3,49,0.3184939999803932
4,49,0.8205008559803459
5,49,0.013814267111527778
0,50,-0.025153267204590102
1,50,0.11404277108065436
2,50,-0.16186213131057786
3,50,0.35934729602867016
4,50,0.8200128314417112
5,50,-7.315612183370623E-4
0,51,0.053295784949784764
1,51,0.1559138414277298
2,51,-0.15255424028284692
3,51,0.391321300897687
4,51,0.8254761954849854
5,51,0.025743721403907252
0,52,0.16935755607187436
1,52,0.20153924393876238
2,52,-0.25054558829004203
3,52,0.3446619980500764
4,52,0.7493684819037205
5,52,-0.0408222912907063
0,53,0.05248023107910532
1,53,0.04600638832925941
2,53,-0.2743231559639984
3,53,0.28325161092501333
4,53,0.7442046124448173
5,53,-0.10751001368020435
0,54,-0.10671276018061895
1,54,-0.0639987156810955
2,54,-0.25720872013514373
3,54,0.18801429837219108
4,54,0.6723996096244037
5,54,-0.08847053640755881
0,55,-0.11536798614219212
1,55,-0.004601066240927876
2,55,-0.38166898553643464
3,55,0.18845531829681073
4,55,0.6087780563281205
5,55,-0.20769175328522632
0,56,-0.15376478718213177
1,56,-0.009806999096454938
2,56,-0.42789978543815615
3,56,0.24356959766135233
4,56,0.5656829680902944
5,56,-0.1222381368085869
0,57,-0.014520273555040097
1,57,0.07048345446183463
2,57,-0.23627232722532948
3,57,0.22550415524891188
4,57,0.7791671135492501
5,57,-0.02419995786553053
0,58,0.15132646945102007
1,58,0.17033474727657794
2,58,-0.10837948589133528
3,58,0.41374042343881134
4,58,0.8232757740352821
5,58,0.04117359733865572
0,59,0.1620838161202819
1,59,0.15945887644474677
2,59,-0.17399468422614553
3,59,0.47989443168608614
4,59,0.8661967604196666
5,59,0.07091828540582744
0,60,0.1055271754822007
1,60,0.2553931257312545
2,60,-0.21592775476126114
3,60,0.40805253124201857
4,60,0.8157471471164248
5,60,0.022349521737936917
0,61,0.1354994543154337
1,61,0.43020822543215076
2,61,-0.0642478461867158
3,61,0.43946401033016724
4,61,0.9304606700650716
5,61,0.03478758875199691
0,62,0.22724535356040662
1,62,0.40743261125890096
2,62,-0.013933300158544992
3,62,0.583509783314631
4,62,0.9534359704174922
5,62,0.17903787679676886
0,63,0.3361441161151961
1,63,0.36111820460278443
